class,decoder_iou,lora_iou,delta_iou,decoder_acc,lora_acc,delta_acc,decoder_pred_share,lora_pred_share
counter,0.70442583,0.65218049,-0.05224534,0.82088373,0.83643708,0.01555335,0.00608968,0.00690941
shower curtain,0.80546953,0.76237211,-0.04309742,0.89266662,0.82143128,-0.07123534,0.00441330,0.00396346
sink,0.71991401,0.68500692,-0.03490709,0.85936052,0.82069295,-0.03866757,0.00300791,0.00290998
toilet,0.95312245,0.92395918,-0.02916327,0.97796078,0.96534431,-0.01261647,0.00318045,0.00319982
door,0.77147147,0.74279471,-0.02867676,0.91286290,0.89959574,-0.01326716,0.04888457,0.04953363
cabinet,0.73182266,0.71041304,-0.02140962,0.83374967,0.83072088,-0.00302879,0.03796257,0.03901761
chair,0.91827702,0.90227092,-0.01600610,0.95540250,0.93903515,-0.01636735,0.08864818,0.08721937
refridgerator,0.76465569,0.75087069,-0.01378500,0.90306282,0.90871100,0.00564818,0.00674526,0.00696211
wall,0.87925381,0.86549276,-0.01376105,0.93557450,0.92235124,-0.01322326,0.30468561,0.30115501
curtain,0.86335268,0.84994567,-0.01340701,0.91919533,0.91630956,-0.00288577,0.01802522,0.01821783
bathtub,0.84806967,0.83683424,-0.01123543,0.96617716,0.94723678,-0.01894038,0.00296856,0.00289799
sofa,0.79308265,0.78347302,-0.00960963,0.93582807,0.93082787,-0.00500020,0.02455995,0.02462798
floor,0.95835501,0.94897367,-0.00938134,0.97942938,0.97459184,-0.00483754,0.25071861,0.25076067
table,0.78964301,0.78134011,-0.00830290,0.84906352,0.85268313,0.00361961,0.03809685,0.03890792
otherfurniture,0.71165904,0.70461836,-0.00704068,0.80692497,0.79375779,-0.01316718,0.04292625,0.04198976
desk,0.70963461,0.70259575,-0.00703886,0.86760547,0.85717447,-0.01043100,0.01990655,0.01966865
window,0.76295415,0.75832695,-0.00462720,0.86367715,0.86275594,-0.00092121,0.03843719,0.03862138
picture,0.42166808,0.43033021,0.00866213,0.54721802,0.59682224,0.04960422,0.00488506,0.00568724
bookshelf,0.82615925,0.84452964,0.01837039,0.91220889,0.92742769,0.01521880,0.03187574,0.03216494
bed,0.84318598,0.86204578,0.01885980,0.88754445,0.92729339,0.03974894,0.02398249,0.02558523
